Zip,geo_x,geo_y
16000,50.1278,14.3889
16000,50.1,14.3667
16000,50.1278,14.3889
16000,50.1278,14.3889
16000,50.1278,14.3889
16000,50.1278,14.3889
16000,50.1278,14.3889
16000,50.1278,14.3889
16000,50.1278,14.3889
16100,50.0833,14.3167
16100,50.0833,14.3167
16100,50.0833,14.3167
16100,50.0833,14.3167
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16200,50.1,14.35
16300,50.0667,14.3
16300,50.0667,14.3
16400,50.1167,14.3
16400,50.1167,14.3083
16400,50.1167,14.3167
16400,50.1167,14.3083
16500,50.1333,14.3667
16500,50.1333,14.3833
16500,50.1333,14.375
16500,50.1333,14.375
16900,50.1133,14.35
16900,50.1133,14.35
16900,50.1133,14.35
16900,50.1133,14.35
16900,50.1133,14.35
16900,50.1133,14.35
17000,50.1013,14.45
17000,50.1019,14.4001
17000,50.1013,14.45
17000,50.1019,14.4001
17100,50.1179,14.417
17100,50.1167,14.4127
17100,50.1167,14.4127
17100,50.1179,14.417
18000,49.9738,14.819
18000,49.9738,14.819
18000,49.9738,14.819
18000,49.9738,14.819
18000,49.9738,14.819
18000,49.9738,14.819
18100,50.1333,14.4167
18100,50.1333,14.425
18100,50.1333,14.4333
18100,50.1333,14.425
18100,50.1333,14.425
18100,50.1333,14.425
18200,50.1444,14.4833
18200,50.1444,14.4833
18200,50.1667,14.4833
18200,50.1444,14.4833
18200,50.15,14.5
18200,50.1444,14.4833
18200,50.1444,14.4833
18200,50.1444,14.4833
18200,50.1167,14.4667
18200,50.1444,14.4833
18400,50.15,14.45
18400,50.15,14.45
18600,48.9667,16.9833
18600,48.9667,16.9833
18600,48.9667,16.9833
18600,48.9667,16.9833
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19000,50.1167,14.5
19011,50.0833,14.6167
19011,50.0833,14.6167
19012,50.0833,14.5833
19012,50.0833,14.5833
19014,50.1,14.6667
19014,50.1,14.6667
19015,50.1167,14.5833
19015,50.1167,14.5833
19016,50.0833,14.6667
19016,50.0667,14.65
19016,50.075,14.6583
19016,50.075,14.6583
19017,50.15,14.6
19017,50.15,14.6
19300,50.1167,14.6333
19300,50.1167,14.6333
19600,50.15,14.55
19600,50.1556,14.5333
19600,50.1667,14.5333
19600,50.1556,14.5333
19600,50.15,14.5167
19600,50.1556,14.5333
19700,49.5667,13.6333
19700,49.5667,13.6333
19800,50.1,14.5667
19800,50.1,14.55
19800,50.1,14.55
19800,50.1,14.55
19800,50.1,14.55
19800,50.1,14.5333
19800,50.1,14.55
19800,50.1,14.55
19900,50.1333,14.5167
19900,50.1333,14.5167
25167,49.8833,14.6833
25167,50.0667,14.8167
25167,49.9,14.6833
25167,49.9071,14.6857
25208,49.8,14.4667
25208,49.8167,14.4333
25601,49.7667,14.6333
25601,49.7167,14.5167
25601,49.8167,14.65
25601,49.7833,14.7833
25601,49.75,14.6333
25601,49.8,14.7833
25601,49.7833,14.6333
25601,49.7667,14.7333
25601,49.8333,14.7333
25601,49.8167,14.6667
25601,49.8333,14.7333
25601,49.8,14.6333
25601,49.7833,14.7833
25601,49.8167,14.7167
25601,49.8167,14.7667
25601,49.7833,14.75
25601,49.85,15.15
25601,49.8,14.6333
25601,49.8,14.65
25601,49.8167,14.7333
25601,49.8167,14.8333
25601,49.7667,14.8167
25601,49.7667,14.8333
25601,49.8333,14.7167
25601,49.7833,14.7333
25601,49.791,14.7604
25601,49.7667,14.65
25601,49.8,14.8
25601,49.7833,14.6833
25601,49.8,14.65
25601,49.8,14.5833
25601,49.75,14.6667
25601,49.7667,14.7167
25601,49.6667,15.25
25601,49.7833,14.7333
25601,49.8,14.8167
25601,49.791,14.7604
25601,49.7833,14.7667
25601,49.7,15.15
25601,49.7667,14.6667
25601,49.791,14.7604
25601,49.8167,14.7167
25601,49.8,14.8
25601,49.8167,14.7667
25601,49.791,14.7604
25601,49.8167,14.8167
25601,49.8167,14.7833
25601,49.7833,14.6167
25601,49.791,14.7604
25601,49.7667,14.7667
25601,49.791,14.7604
25601,49.7667,14.8
25601,49.8167,14.75
25701,49.6833,14.7667
25701,49.6167,14.6667
25701,49.7,14.8
25701,49.7,14.7667
25701,49.7333,14.8
25701,49.7333,14.7833
25701,49.7167,14.8
25701,49.6833,14.8
25701,49.7,14.7167
25701,49.7,14.75
25701,49.75,14.7667
25701,49.8833,15.0333
25701,49.7333,14.7833
25701,49.7,14.7833
25701,49.7333,14.7333
