Zip,geo_x,geo_y
25262,50.15,14.3333
25263,50.1667,14.4
25264,50.1667,14.3
25265,50.2,14.3
25266,50.2,14.35
25267,50.1333,14.2833
25268,50.1333,14.25
25281,49.8833,14.4333
25282,49.8667,14.5
25301,50.0667,14.25
25401,49.9,14.5
26203,49.8167,14.3333
26101,49.65,14
26202,49.7833,14.2
26204,49.8333,14.2833
26205,49.8167,14.3333
26206,49.7833,14.35
26211,49.7667,14.1167
26212,49.75,14.15
26213,49.7,14.2333
26214,49.7,14.2833
26215,49.7333,14.2833
26221,49.7167,13.95
26222,49.75,14.0167
26223,49.7833,13.9833
26225,49.75,14.0667
26231,49.65,14.0333
26232,49.6,14.1167
26241,49.6667,13.9667
26242,49.6167,13.8333
26243,49.6167,13.8333
26244,49.5333,13.8167
26251,49.6667,14.3667
26252,49.6167,14.3833
26255,49.6,14.3667
26256,49.5667,14.2833
26261,49.7,14.15
26262,49.6667,14.1833
26263,49.6667,14.1667
26272,49.55,13.9
26281,49.6,13.9833
26284,49.55,14.1
26285,49.5167,13.9667
26291,49.65,14.4833
26293,49.7,14.3667
26301,49.7333,14.1667
26901,50.1333,13.7
26902,50.1083,13.7667
27001,50.15,13.6667
27002,50.1333,13.6167
27004,50.1833,13.5667
27006,50.2167,13.6667
27007,50.2,13.7
27008,50.1833,13.75
27009,50.1833,13.7333
27021,50.05,13.75
27023,50.0167,13.8333
27024,50.0333,13.9333
27031,50.1,13.6667
27032,50.1167,13.55
